dbn,school_name,applications,acceptances,per_pupil_spending,avg_class_size,asian_percent,black_percent,hispanic_percent,multiple_percent,white_percent,rigorous_instruction,collaborative_teachers,supportive_environment,effective_school_leadership,strong_family_community_ties,trust,disability_percent,poverty_percent,ESL_percent,school_size,student_achievement,reading_scores_exceed,math_scores_exceed
09X004,P.S./M.S. 004 CROTONA PARK WEST,7,0,21985,20.28,0.7,54.5,42.6,1.1,1.2,3.27,3.63,2.91,2.78,2.31,3.21,24.9,92.5,11.9,571,3.1,0.31,0.28
09X022,J.H.S. 022 JORDAN L. MOTT,24,1,23807,16.76,1.4,20.7,75.5,0.5,2,3.22,3.35,3.39,3.75,3.42,3.64,23.6,97.5,35.8,444,3.06,0.2,0.15
09X117,I.S. 117 JOSEPH H. WADE,0,0,23014,20.03,1.9,17.5,79.7,0.4,0.4,2.88,2.85,2.59,3.24,3.77,3.22,24.2,94.5,39.6,513,2.85,0.2,0.15
09X128,MOTT HALL III,68,2,17483,22.69,1.1,41,55.9,1.4,0.6,3.84,4.64,4.32,3.71,3.3,3.78,17.1,93.4,4.7,363,4.29,0.52,0.43
09X215,KAPPA,25,2,18314,19.25,5.7,47.3,44.8,0.9,1.3,3.74,3.64,3.64,4,3.16,3.95,24.6,90.5,15.1,317,4.04,0.33,0.26
09X218,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,63,2,19413,28.62,2.8,4.4,91,0.8,1.1,3.77,3.82,3.73,3.73,2.96,3.26,18.9,86.7,28.7,1009,3.3,0.39,0.36
09X219,I.S. 219 NEW VENTURE SCHOOL,7,0,23626,16.58,0.6,38.4,59.9,0.3,0.9,3.59,3.44,3.15,3.5,3.13,3.65,30.4,94.3,26.7,352,3.49,0.16,0.15
09X229,I.S. 229 ROLAND PATTERSON,0,0,37279,14.86,0.4,39,59.3,1.2,0,2.28,2.64,2.42,2.71,3.55,4.12,32.5,92.7,19.5,246,2.94,0.23,0.15
09X231,EAGLE ACADEMY FOR YOUNG MEN,7,0,19248,16.33,0.6,55,42.7,1.4,0.4,2.71,2.77,3.54,2.86,3.61,2.63,27,78.3,5.1,511,2.66,0.31,0.23
09X232,I.S. 232,41,2,19760,20.85,0.8,18.6,79.7,0,0.8,2.33,2.77,2.12,2.35,2.32,3.72,23,96.3,39.1,488,3.64,0.26,0.17
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",13,0,19177,16.35,0.2,32.8,65.6,0.8,0.6,4.05,4.03,3.7,3.07,3.83,3.76,29.1,93.5,13.5,616,4.06,0.29,0.22
09X303,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,16,1,22009,20.31,0.9,25.9,71.4,0.9,0.9,4.07,4.86,4.44,4.87,3.76,4.71,32.8,99.4,12,332,4.35,0.36,0.25
09X313,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,9,0,24320,17.36,0.6,29.5,68.9,0,1,3.23,2.49,2.6,2.86,3.06,2.72,24.1,92.4,32.4,315,2.72,0.21,0.15
09X323,BRONX WRITING ACADEMY,29,2,21047,17.75,1.6,32,63.9,1.1,1.4,2.71,2.75,2.44,3.45,2.43,2.97,25.1,95,28.8,438,3.39,0.25,0.17
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,13,0,17680,20.32,2.9,26.4,68.4,0.8,1.5,4.04,4.44,3.89,3.78,4.23,3.96,19,87.9,12.1,522,2.12,0.37,0.28
09X325,URBAN SCIENCE ACADEMY,16,1,19170,16.01,0.6,30.6,67.5,0,1.3,,,,,,,24.6,87.4,33.8,317,,0.22,0.15
09X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,15,1,20147,19.46,0.3,21,77.2,0.3,1.2,3.93,4.26,3.73,3.77,3.3,3.91,24.8,91,11.9,734,4.26,0.38,0.3
09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,21,0,23511,17,0,32.6,66.1,0.4,0.8,4.06,4.45,3.11,4.2,2.92,4.21,28.5,85.5,33.9,242,3.21,0.2,0.15
09X339,I.S. 339,27,2,26815,16.38,1.7,29.3,68,0.4,0.6,3.52,3.48,3.44,3.54,3.32,3.37,26.9,91.3,29.3,516,3.68,0.21,0.15
09X350,NEW DIRECTIONS SECONDARY SCHOOL,0,0,32058,8.23,0.9,24.8,69.2,4.3,0.9,2.58,3.09,3.11,2.98,2.37,3.25,32.9,95.7,35.5,234,1.65,0.15,0.15
09X361,THE HIGHBRIDGE GREEN SCHOOL,18,1,25249,23.83,0.5,23.9,73.6,1,1,3.81,3.45,4.42,3.85,3.38,3.4,25.9,97.2,21.7,397,3.58,0.3,0.2
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,10,0,18069,16.91,7.6,28.2,61.7,1.4,1.2,2.85,3.47,3.56,3.69,3.02,3.92,19.9,83.4,12.7,433,4.08,0.41,0.35
09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,35,2,19508,20.8,2.9,28.9,68,0,0.2,4.6,4.47,4.05,4.57,3.87,4.68,20.6,91.7,18.3,447,4.49,0.37,0.27
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",13,0,18467,21.06,1.2,24.6,71.3,1.9,0.9,2.76,3.23,3.65,3.56,2.83,3.64,21,89.9,10.4,771,4.28,0.45,0.36
09X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,30,2,19854,30.67,2.6,36.6,58.3,1.5,1.1,3.86,4.48,3.6,4.23,3.94,3.84,19.6,86.2,6,465,3.16,0.57,0.46
10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,13,0,27067,20,0.9,29,69.8,0,0.3,3.48,4.22,3.34,3.81,3.53,3.53,19.8,94.5,12.9,348,4.19,0.39,0.34
10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,27,2,19838,27.79,1,11.5,86.3,1,0.2,3.63,3.57,3.88,3.5,3.71,3.73,20,79,9.8,480,3.35,0.51,0.49
10X020,"P.S./M.S. 20 P.O.GEORGE J. WERDANN, III",42,2,19787,29.89,9.2,10.9,72.4,2.1,5.4,3.1,2.33,2.45,2.68,2.06,2.08,24.5,94.8,24.2,1072,3.1,0.32,0.27
10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,6,0,21759,21.99,2,21.5,73.2,1.4,1.9,4.46,4.77,2.55,4.16,3.98,4.42,27.6,85.3,15.3,646,3.02,0.33,0.31
10X045,THOMAS C. GIORDANO MIDDLE SCHOOL 45,46,2,20065,19.44,2,15.6,77.2,0.8,4.4,2.54,3.55,2.69,3.44,3.08,3.89,18.5,97,20.1,710,2.96,0.34,0.22
10X080,J.H.S. 080 THE MOSHOLU PARKWAY,51,2,23165,19.44,12.7,12.9,68.6,0.9,4.9,3.54,3.19,3.21,3.68,2.62,3.15,22.7,90.6,33.6,691,4.08,0.23,0.17
10X095,P.S. 095 SHEILA MENCHER,42,2,19614,25.81,6.2,17,70.1,1.9,4.7,3.69,3.47,2.86,3.57,4,3.62,19.5,81.2,17.8,1288,3.61,0.4,0.33
10X118,J.H.S. 118 WILLIAM W. NILES,270,29,18540,19.69,14.8,21.8,59.9,0.6,2.9,3.21,2.12,2.84,2.74,2.14,2.49,23,89.8,10.7,1174,2.91,0.51,0.43
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),75,15,13260,22.58,7.7,9,56.4,1.5,25.4,3.24,3.33,3.45,3.26,3.83,3.11,19.7,51.4,6.7,1513,2.56,0.61,0.54
10X206,I.S. 206 ANN MERSEREAU,8,0,24828,18.06,1.9,13,83.6,1,0.5,3.34,2.98,3.11,3.42,3.98,4.09,32.4,90.3,31.9,207,2.51,0.2,0.15
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,6,0,18866,24.21,1.3,26.5,69.1,1.5,1.6,3.31,3.57,2.62,3.48,2.94,3.11,23.2,79.8,7.7,608,2.77,0.38,0.28
10X228,JONAS BRONCK ACADEMY,64,2,29413,28.67,6.7,13.8,75,2.2,2.2,4.78,4.65,4.13,4.49,3.8,4.1,18.3,89.6,5.6,268,3.63,0.58,0.53
10X243,WEST BRONX ACADEMY FOR THE FUTURE,18,1,19655,9.12,1.8,18.1,77.8,0.7,1.6,2.62,3.56,3.36,3.56,3.13,3.74,26,94.6,12.4,607,2.45,0.41,0.33
10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,91,2,18955,25.19,4.1,12.3,80.2,0.9,2.4,3.61,3.74,3.94,4.15,3.97,4.01,22.1,96.8,21.4,748,3.91,0.35,0.28
10X254,I.S. 254,13,0,22544,18.08,2.1,17.5,78.9,0.6,0.9,,,,,,,27.5,88.7,34.1,469,3.72,0.23,0.15
10X279,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",38,2,19685,25.22,3.8,16.1,78.9,0.7,0.5,3.99,4.52,3.83,4.19,3.83,4.27,19.7,94.2,29.9,1092,3.54,0.31,0.28
10X280,P.S./M.S. 280 MOSHOLU PARKWAY,41,2,18900,29.56,10.4,7.9,75.1,0.7,5.9,4.41,4.61,3.57,3.85,3.77,4.15,28,95.9,16.8,876,3.55,0.39,0.36
10X308,BRONX DANCE ACADEMY SCHOOL,19,1,25641,19.75,1.5,22.3,75.5,0,0.7,,,3.12,,2.73,3.4,23.8,92.9,4.8,269,3.5,0.39,0.28
10X315,P.S. 315 LAB SCHOOL,12,0,23058,24.18,1.2,13.3,84.3,0.8,0.4,4.48,4.57,3.51,4.43,4,3.99,21.3,97.6,15.7,249,2.75,0.44,0.38
10X331,THE BRONX SCHOOL OF YOUNG LEADERS,35,2,23541,22.71,1.7,25.4,72.9,0,0,4.03,4.46,4.33,4.31,4.11,4.38,23.2,87.8,19.6,409,3.74,0.31,0.2
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,0,0,19904,23.61,0.2,0.4,99.2,0,0.2,2.92,4.07,4.2,3.72,3.61,3.74,7.1,97.5,66.5,523,3.52,0.17,0.15
10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,45,2,26833,24.94,1.6,10.2,86.7,0.5,0.9,3.98,3.77,3.49,4.14,3.3,4.01,25.5,89,33.6,557,3.2,0.27,0.21
10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),27,2,19194,23.55,4.1,8.8,81.6,1.6,4,3.61,3.06,3.52,3.09,2.59,2.87,20.7,86.3,16.6,1003,2.11,0.46,0.4
10X390,M.S. 390,24,1,23289,19.66,0.6,12.8,86.5,0,0.2,3.52,3.51,3.14,3.91,4.28,3.87,25,98.1,29.7,539,3.97,0.29,0.2
10X391,THE ANGELO PATRI MIDDLE SCHOOL,17,1,24051,17.42,1.5,21.9,74.3,0.9,1.3,2.21,2.6,2.63,2.87,2.94,2.62,27,91.9,36,530,2.62,0.21,0.15
10X447,CRESTON ACADEMY,29,2,22233,24.68,1.5,9.8,86.5,0.9,1.3,3.92,3.91,3.91,3.32,3.51,3.49,18.3,91.7,35,460,4.26,0.3,0.23
10X459,EAST FORDHAM ACADEMY FOR THE ARTS,10,0,20286,19.78,1.8,12.9,81.3,2.9,1.1,2.76,2.76,2.21,2.04,2.34,3.28,27.7,92.1,30.9,278,2.84,0.21,0.15
11X019,P.S. 019 JUDITH K. WEISS,24,1,19006,28.63,2.9,6.8,28,2.2,60.1,4.06,4.18,3.12,3.73,3.87,3.81,16,59.7,9.4,511,3.56,0.59,0.57
11X083,P.S. 083 DONALD HERTZ,77,13,18360,26.87,9,6.7,48.2,1.1,35,3.51,4.22,3.95,3.52,3.83,3.53,18.8,64,17.5,1698,3.05,0.48,0.45
11X089,P.S. 089 BRONX,25,2,18465,25.98,9.2,18.9,54.5,1.6,15.9,2.88,3.7,2.92,3.06,2.82,3.87,17.1,77.1,20.8,1548,3.09,0.4,0.36
11X127,J.H.S. 127 THE CASTLE HILL,133,9,19552,22.52,31.6,21.8,42.1,1.7,2.7,3.63,4.09,3.61,3.91,2.87,3.61,17.7,76.7,17,806,3.13,0.44,0.35
11X144,J.H.S. 144 MICHELANGELO,42,2,21736,20.97,2.8,60.2,32.5,0.4,4.1,4.19,3.98,3.32,4.19,3.94,4.53,27.6,76,10.6,492,3.86,0.29,0.19
11X175,P.S. 175 CITY ISLAND,14,0,18821,20.44,3.6,9,35.8,2.7,48.8,4.35,3.47,3.76,3.51,3.94,3.51,17.8,51.2,3,332,3.25,0.55,0.55
11X180,M.S. 180 DR. DANIEL HALE WILLIAMS,151,2,21481,23.35,2.9,69.6,22.4,2.5,2.6,,,3.42,,4.26,2.97,17.5,74.9,2,968,3.27,0.57,0.46
11X181,I.S. 181 PABLO CASALS,124,8,19188,22.38,5,59,29.3,3.1,3.6,4.78,4.31,3.3,4.02,3.54,3.7,23.4,81.5,3.4,883,3.99,0.48,0.38
11X194,P.S./M.S. 194,64,8,17529,29.39,36.3,6,49.7,2.4,5.7,4.65,3.73,3.67,4.05,3.04,3.5,14.4,80.1,19.6,1326,2.73,0.46,0.46
11X287,NORTH BRONX SCHOOL OF EMPOWERMENT,23,1,22830,17.86,2.8,59.2,33.1,2.5,2.5,2.74,2.73,2.27,2.56,2.06,2.25,26.6,86.8,13.9,568,2.3,0.23,0.15
11X326,BRONX GREEN MIDDLE SCHOOL,37,2,20102,23.76,6.6,21.5,57.7,0.8,13.4,3.57,3.53,2.97,3.51,3.42,4.01,21.5,93.7,19.2,395,3.07,0.36,0.27
11X355,BRONX ALLIANCE MIDDLE SCHOOL,24,1,26570,11.22,4.1,63.1,30.7,1.2,0.9,2.44,1.84,1.82,2.65,2.64,2.37,20.9,82,5.3,339,2.73,0.27,0.18
11X370,LEADERS OF TOMORROW,29,2,22874,15.92,2,56.5,36.3,2.5,2.7,3.6,4.05,3.21,4.34,3.73,3.92,32.7,95.2,13.2,400,3.25,0.25,0.16
11X462,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),24,1,22214,24.7,0,64,32.6,0.7,2.6,4.1,3.57,4.32,4.13,3.51,4.22,24.7,81.6,2.2,267,2.38,0.38,0.28
11X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,35,2,20620,20,7.4,13.9,62.5,0.6,15.5,4.13,4.25,3.66,3.3,3.49,3.63,21.4,88.2,13.6,323,3.73,0.41,0.34
11X498,P.S./M.S. 11X498 - VAN NEST ACADEMY,36,2,19163,26.95,7.4,11.9,63.5,1.1,16,4.09,3.79,4.33,4.19,4.2,4.44,22.2,75.2,6.8,636,3.68,0.5,0.47
11X529,ONE WORLD MIDDLE SCHOOL AT EDENWALD,35,2,21609,21.31,3,58.4,32.2,4.5,1.8,4.81,4.58,4.18,4.38,4.03,4.38,23.2,81.3,6.9,332,3.94,0.35,0.25
11X532,BAYCHESTER MIDDLE SCHOOL,15,1,21904,15.56,1.7,68,26.7,3,0.7,3.52,3.02,2.98,3.43,3.27,2.59,21.7,86.3,4,300,2.98,0.31,0.19
11X556,BRONX PARK MIDDLE SCHOOL,52,2,21213,23.55,9.4,17.5,58.4,1.2,13.5,3.69,4.14,3.36,4.34,3.66,4.33,19,88.4,19.7,406,3.13,0.37,0.28
11X566,PELHAM GARDENS MIDDLE SCHOOL,31,2,21507,18.81,3.5,59,30.6,2.7,4.2,4.03,4.23,3.44,3.91,3.44,4.06,25.3,76.5,6.7,451,3.54,0.31,0.21
12X098,J.H.S. 098 HERMAN RIDDER,0,0,29352,19.81,3.3,27.1,67.5,0.8,1.3,2.06,3.01,2.07,2.91,3.89,3.92,21.3,95.4,29.2,240,3.09,0.2,0.15
12X129,M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP,29,2,23038,19.81,2.7,28.8,66.2,1.4,1,4.04,4.12,3.94,4.18,3.59,4.54,29.4,92.8,12.8,517,4.12,0.21,0.15
12X190,E.S.M.T- I.S. 190,19,1,22168,19.77,1.7,22,73.4,2.1,0.8,3.27,3.41,3.13,3.27,2.77,3.07,24.1,91.3,9.1,241,3.92,0.31,0.24
12X211,P.S. 211,7,0,23594,21.97,0.2,13.9,85.1,0.3,0.5,2.31,2.17,3.59,2.44,2.88,2.32,19.6,92.1,20.2,598,3.36,0.25,0.2
12X212,P.S. 212,0,0,21904,20.75,0.5,34.6,63.4,0.9,0.7,1.89,2.19,1.56,2.32,1.49,2.61,13.5,97.5,21.1,437,1.5,0.33,0.28
12X214,P.S. 214,28,2,18699,23.08,2.6,25,69.5,1.9,1,3.67,3.92,2.94,3.77,2.62,3.36,18.6,87.4,12,1078,2.44,0.34,0.3
12X217,SCHOOL OF PERFORMING ARTS,8,0,23724,14.63,2,31.3,63.3,2.3,1,2.56,2.74,2.3,2.88,3.17,2.15,32.7,96.3,18.3,300,2.79,0.22,0.15
12X242,MOTT HALL V,17,1,17738,15.92,2.8,16.6,77.6,1.9,1.2,4.27,4.01,3.74,3.03,3.3,3.29,27,84.8,12.6,682,3.92,0.28,0.18
12X267,BRONX LATIN,0,0,19742,18.16,1.4,19,77.7,0.7,1.2,3.89,3.61,3.52,2.34,2.93,2.57,25.6,94.3,14.5,579,3.48,0.31,0.22
12X271,EAST BRONX ACADEMY FOR THE FUTURE,14,0,22509,16.92,1.8,25.8,70,1.5,0.9,3.43,3.72,3.21,4.15,2.98,2.83,28.9,91.8,15.1,671,3.57,0.28,0.18
12X273,FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,11,0,21527,21.5,1.8,37.1,58.9,1.3,0.9,2.39,1.91,2.46,2.8,2.45,2.79,25,88.8,11.2,224,2.54,0.29,0.2
12X286,FANNIE LOU HAMER MIDDLE SCHOOL,0,0,22373,17.93,0.4,23.6,73.6,0,2.5,3.3,3.63,2.76,3.89,3.48,3.33,23.2,87,19.2,276,2.72,0.23,0.15
12X316,KAPPA III,34,2,20241,22.53,1.8,27,69.1,0.8,1.3,4.09,3.75,3.96,2.7,3.56,3.18,26.2,90.1,8.8,385,3.02,0.38,0.29
12X318,"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",18,2,24780,17.58,2,26.2,70.7,0.4,0.8,3.39,3.25,3,3.28,3.52,3.16,27,98.4,17.6,256,2.2,0.26,0.18
12X341,ACCION ACADEMY,7,0,22610,17.6,0.7,24.5,72.8,0,2,3.02,2.46,2.01,2.77,3.15,2.8,29.1,90.7,15.2,151,2.8,0.25,0.16
12X372,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,6,0,19416,18.4,2.7,24.9,69.3,0.8,2.1,,,,,,,28.8,83.5,13.1,473,,0.2,0.15
12X383,EMOLIOR ACADEMY,20,1,23351,19.15,3.5,24.7,62.9,5.8,3.1,3.34,3.06,2.95,3.19,3.2,2.94,28.2,91.1,19.7,259,3.41,0.23,0.15
12X384,ENTRADA ACADEMY,10,0,23150,19.5,3.2,15.7,78.7,1.2,1.2,,,,,,,22.9,97.6,40.6,249,,0.2,0.15
13K008,P.S. 008 ROBERT FULTON,42,8,16592,29.75,6.3,15.2,12,7.5,59,4.25,4.3,3.6,3.43,3.97,3.42,12.6,18.3,2.9,916,3.15,0.8,0.81
13K113,M.S. 113 RONALD EDMONDS LEARNING CENTER,20,1,21089,18.41,4.3,68.2,23,2,2.6,3.41,3.32,3.18,3.64,3.95,3.73,30.2,91.1,5.9,305,2.54,0.32,0.21
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,0,0,20549,14.79,1.7,69.1,26.5,0,2.6,2.99,2.9,2.7,3.27,3.56,3.82,21.7,97.4,10.9,230,3.26,0.24,0.15
13K266,M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,8,0,25191,14.2,2.5,76.2,15.6,1.3,4.4,3.36,3.86,3.88,3.65,4.21,2.94,37.5,84.4,5.6,160,3.48,0.28,0.17
13K282,P.S. 282 PARK SLOPE,38,2,17676,25.48,3.6,52.7,25.9,1.9,15.9,,,2.48,,,,17.9,54.2,3.4,742,3.65,0.5,0.41
13K301,SATELLITE EAST MIDDLE SCHOOL,0,0,23113,16.4,7.1,69.7,16.2,2,5.1,2.63,3.27,2.61,3.73,4.45,3.27,33.3,94.9,10.1,99,2.92,0.21,0.15
13K313,DOCK STREET SCHOOL FOR STEAM STUDIES,0,0,28214,17,6.5,67.8,19.6,0.5,5.5,3.31,3.28,3.09,3.38,3.67,2.79,25.1,72.4,1.5,199,3.62,0.56,0.46
13K351,THE URBAN ASSEMBLY UNISON SCHOOL,21,1,25839,19.86,7.4,79.2,11.4,0,2,2.39,3.63,3.06,3.97,4.15,4.07,31.5,89.3,8.1,149,3.06,0.28,0.15
13K492,ACADEMY OF ARTS AND LETTERS,26,2,17010,29.7,6.9,31.8,16.4,7.7,37.2,3.87,3.46,4.2,2.73,4.53,3.64,21,29.9,0.6,519,2.72,0.78,0.68
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,22,1,17738,18.01,9,64.2,14,1.5,11.5,2.15,2.85,2.49,2.7,3.12,3.66,16.7,84.8,8.1,480,3.26,0.44,0.32
13K691,FORT GREENE PREPARATORY ACADEMY,17,1,20865,18.36,5.5,62.2,28.9,1.5,2,3.11,3.03,2.78,3.34,3.42,3.54,32.8,90.5,7.5,201,3.04,0.29,0.18
14K050,J.H.S. 050 JOHN D. WELLS,7,0,25996,17,0.3,21.1,75.1,0.7,2.8,3.68,4.33,3.96,4.04,4.14,4.3,35.3,88.9,17.6,289,3.9,0.27,0.19
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,0,0,26664,17.29,0.7,17.8,75.7,0.6,5.2,3.62,3.63,4.31,3.96,4.36,4.1,32.8,87.1,27,534,3.71,0.22,0.15
14K084,P.S. 084 JOSE DE DIEGO,18,1,23406,25.14,3.7,3.8,62,5,25.5,3.55,3.84,3.35,3.52,3.94,3.63,16.6,47,15.9,793,2.41,0.48,0.45
14K126,JOHN ERICSSON MIDDLE SCHOOL 126,35,2,35124,17.67,1.1,19.6,68.8,0.5,10.1,4.05,3.73,3.46,3.95,3.89,3.46,25.9,84.1,9,378,2.42,0.42,0.32
14K157,P.S./I.S. 157 THE BENJAMIN FRANKLIN HEALTH & SCIENCE ACADEMY,15,1,22083,20.67,0.4,18.2,78.7,0.8,1.9,3.49,3.37,3.38,3.36,4.11,3.4,27.3,86.6,17.1,479,2.74,0.28,0.22
14K318,I.S. 318 EUGENIO MARIA DE HOSTOS,222,27,17551,26.75,8.2,16.8,61.1,1,13,4.04,3.85,3.75,3.94,3.51,3.86,18.3,65.4,7.6,1249,2.02,0.57,0.5
14K577,CONSELYEA PREPARATORY SCHOOL,90,7,17960,33.2,1.8,4.6,56.4,0.2,37.1,4.78,4.59,4.06,4.19,3.95,3.93,19.1,52.8,3,502,2.59,0.65,0.57
14K582,M.S. 582,0,0,23730,18.13,1.9,23.8,69.4,1.5,3.4,4.14,4.06,4.16,4.41,3.72,4.23,33.6,82.3,13.2,265,4.01,0.3,0.21
14K586,LYONS COMMUNITY SCHOOL,6,0,19024,19.5,1,37.1,59.3,0,2.6,3.61,3.95,2.85,4.24,3.86,4.2,24.8,89.3,13.5,496,1.63,0.29,0.19
14K614,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,0,0,18186,18.47,3.4,48.5,39.9,3,5.2,3.4,2.68,3.71,3.64,4.31,3.28,18.2,77.1,7.9,406,2.44,0.46,0.32
15K051,M.S. 51 WILLIAM ALEXANDER,280,122,16145,25.36,16.4,7.6,20.4,4.7,51,3.56,3.81,4.03,3.83,3.1,3.31,17.7,28.7,2.2,1136,4.05,0.83,0.83
15K088,J.H.S. 088 PETER ROUGET,163,20,20927,23.19,19.6,11,56.5,0.9,11.9,4.58,4.24,3.64,4.34,2.79,3.27,24.6,80.5,12.7,1350,3.13,0.5,0.44
15K136,I.S. 136 CHARLES O. DEWEY,18,1,23921,23.19,7.6,2.7,81.2,0.4,8,3.6,4.37,3.84,4.18,3.06,4.13,23.1,97.3,39.8,485,2.79,0.25,0.18
15K442,M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION,25,2,30895,17.55,5.4,20.9,39.3,0.8,33.5,4.01,4.32,3.51,3.3,3.83,3.4,38.5,49.4,3.8,239,3.37,0.54,0.47
15K443,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,94,19,17671,29.5,4.9,7.4,32.8,2.8,52,4.78,4.38,4.09,3.81,3.49,3.79,21,30.3,1.4,567,4.4,0.74,0.64
15K447,THE MATH & SCIENCE EXPLORATORY SCHOOL,134,51,22688,25.7,9.5,11.4,20.1,3.8,55.3,4.13,4.37,4.17,3.8,4.31,3.95,21.4,20.1,0.9,528,4.39,0.84,0.83
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,6,0,20974,15.23,2.8,37.4,45.5,2.3,11.9,4.04,4.15,3.22,3.01,3.89,3.65,32.3,68.1,6.6,681,,0.36,0.32
15K464,PARK SLOPE COLLEGIATE,21,1,20298,17.23,4.4,35,39.4,3.1,18,4.16,3.99,3.26,3.51,3.89,3.23,22,66.8,6.7,654,2.7,0.58,0.46
15K497,THE BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES,32,6,19852,13.12,4.4,34.5,25.5,6,29.6,3.82,4,3.29,3.89,3.72,3.64,23.3,56.6,9.5,632,2.81,0.61,0.52
15K821,SUNSET PARK PREP,53,2,18470,25.14,,,,,,3.46,3.52,3.92,3.5,2.06,3.99,,,,,3.98,0.41,0.36
15K839,M.S. 839,36,7,,,13.5,15.3,24.2,5.5,41.4,3.82,3.71,3.81,3.61,3.92,3.5,29.4,42.9,5.2,326,2.93,0.64,0.58
16K035,M.S. 035 STEPHEN DECATUR,27,2,25636,26.08,1.6,85.3,11,0.4,1.6,4.16,4.05,4.16,4.82,4.83,4.74,31.8,85.3,2.9,245,3.06,0.29,0.19
16K057,J.H.S. 057 WHITELAW REID,9,0,26468,17.75,3,63.3,30.7,0.5,2.5,4.49,4.07,3.21,2.78,3.34,3.48,35.7,93.5,9,199,3.53,0.31,0.17
16K267,"M.S. 267 MATH, SCIENCE & TECHNOLOGY",19,1,25524,20.64,0.7,71.9,19.9,6,1.5,3.96,3.83,2.93,4.37,3.69,4.08,35.2,87.3,5.2,267,3.59,0.32,0.21
16K308,P.S. 308 CLARA CARDWELL,8,0,26759,16.58,2.5,76.4,18.5,1.5,1.1,2.96,3.45,2.36,3.77,3.37,3.44,26.5,88.7,5.1,275,2.3,0.24,0.18
16K681,MADIBA PREP MIDDLE SCHOOL,20,1,21968,18.33,1.9,73,22,0.6,2.5,3.63,3.16,3.19,3.19,4.45,3.58,31.4,86.8,8.8,159,1.98,0.37,0.23
17K002,PARKSIDE PREPARATORY ACADEMY,69,2,19400,20.83,3.9,78.1,13.4,2.2,2.4,3.63,3.72,4.27,4.43,3.77,3.76,16.6,88.8,10.1,493,3.8,0.34,0.23
17K061,M.S. 061 DR. GLADSTONE H. ATWELL,96,2,19469,22.2,2.5,86.8,9.2,0.6,1,3.55,2.64,2.64,3.5,3.51,2.7,19.2,69.8,5.8,725,2.52,0.42,0.33
17K138,P.S. 138 BROOKLYN,23,1,21886,21.13,1.6,79.5,13.1,1.1,4.8,4.74,4.04,3.68,4.31,4.78,4.57,18.2,92,8.3,565,4.17,0.49,0.45
17K181,P.S. 181 BROOKLYN,28,2,18877,24.28,1,84,10,2.3,2.6,2.65,2.93,3.27,3.12,3.03,3.56,19.7,74.3,13.9,689,3.3,0.32,0.28
